     Bruto   AliqINSS   Val.INSS  Base I.R.     AliqIR     Val.IR    Liquido
   1768.00          9     136.35    1631.65       0.00       0.00    1631.65
   1771.00          9     136.62    1634.38       0.00       0.00    1634.38
   1771.00          9     136.62    1634.38       0.00       0.00    1634.38
   1772.00          9     136.71    1635.29       0.00       0.00    1635.29
   1773.00          9     136.80    1636.20       0.00       0.00    1636.20
   1774.00          9     136.89    1637.11       0.00       0.00    1637.11
   1774.00          9     136.89    1637.11       0.00       0.00    1637.11
   1776.00          9     137.07    1638.93       0.00       0.00    1638.93
   1776.00          9     137.07    1638.93       0.00       0.00    1638.93
   1777.00          9     137.16    1639.84       0.00       0.00    1639.84
   1778.00          9     137.25    1640.75       0.00       0.00    1640.75
   1778.00          9     137.25    1640.75       0.00       0.00    1640.75
   1778.00          9     137.25    1640.75       0.00       0.00    1640.75
   1779.00          9     137.34    1641.66       0.00       0.00    1641.66
   1779.00          9     137.34    1641.66       0.00       0.00    1641.66
   1780.00          9     137.43    1642.57       0.00       0.00    1642.57
   1781.00          9     137.52    1643.48       0.00       0.00    1643.48
   1782.00          9     137.61    1644.39       0.00       0.00    1644.39
   1782.00          9     137.61    1644.39       0.00       0.00    1644.39
   1783.00          9     137.70    1645.30       0.00       0.00    1645.30
   1784.00          9     137.79    1646.21       0.00       0.00    1646.21
   1785.00          9     137.88    1647.12       0.00       0.00    1647.12
   1786.00          9     137.97    1648.03       0.00       0.00    1648.03
   1787.00          9     138.06    1648.94       0.00       0.00    1648.94
   1787.00          9     138.06    1648.94       0.00       0.00    1648.94
   1787.00          9     138.06    1648.94       0.00       0.00    1648.94
   1787.00          9     138.06    1648.94       0.00       0.00    1648.94
   1787.00          9     138.06    1648.94       0.00       0.00    1648.94
   1788.00          9     138.15    1649.85       0.00       0.00    1649.85
   1788.00          9     138.15    1649.85       0.00       0.00    1649.85
   1789.00          9     138.24    1650.76       0.00       0.00    1650.76
   1789.00          9     138.24    1650.76       0.00       0.00    1650.76
   1790.00          9     138.33    1651.67       0.00       0.00    1651.67
   1791.00          9     138.42    1652.58       0.00       0.00    1652.58
   1791.00          9     138.42    1652.58       0.00       0.00    1652.58
   1792.00          9     138.51    1653.49       0.00       0.00    1653.49
   1793.00          9     138.60    1654.40       0.00       0.00    1654.40
   1793.00          9     138.60    1654.40       0.00       0.00    1654.40
   1794.00          9     138.69    1655.31       0.00       0.00    1655.31
   1794.00          9     138.69    1655.31       0.00       0.00    1655.31
   1795.00          9     138.78    1656.22       0.00       0.00    1656.22
   1796.00          9     138.87    1657.13       0.00       0.00    1657.13
   1796.00          9     138.87    1657.13       0.00       0.00    1657.13
   1798.00          9     139.05    1658.95       0.00       0.00    1658.95
   1801.00          9     139.32    1661.68       0.00       0.00    1661.68
   1801.00          9     139.32    1661.68       0.00       0.00    1661.68
   1802.00          9     139.41    1662.59       0.00       0.00    1662.59
   1802.00          9     139.41    1662.59       0.00       0.00    1662.59
   1803.00          9     139.50    1663.50       0.00       0.00    1663.50
   1805.00          9     139.68    1665.32       0.00       0.00    1665.32
   1805.00          9     139.68    1665.32       0.00       0.00    1665.32
   1805.00          9     139.68    1665.32       0.00       0.00    1665.32
   1806.00          9     139.77    1666.23       0.00       0.00    1666.23
   1806.00          9     139.77    1666.23       0.00       0.00    1666.23
   1807.00          9     139.86    1667.14       0.00       0.00    1667.14
   1809.00          9     140.04    1668.96       0.00       0.00    1668.96
   1810.00          9     140.13    1669.87       0.00       0.00    1669.87
   1810.00          9     140.13    1669.87       0.00       0.00    1669.87
   1812.00          9     140.31    1671.69       0.00       0.00    1671.69
   1812.00          9     140.31    1671.69       0.00       0.00    1671.69
   1813.00          9     140.40    1672.60       0.00       0.00    1672.60
   1814.00          9     140.49    1673.51       0.00       0.00    1673.51
   1815.00          9     140.58    1674.42       0.00       0.00    1674.42
   1818.00          9     140.85    1677.15       0.00       0.00    1677.15
   1820.00          9     141.03    1678.97       0.00       0.00    1678.97
   1821.00          9     141.12    1679.88       0.00       0.00    1679.88
   1822.00          9     141.21    1680.79       0.00       0.00    1680.79
   1824.00          9     141.39    1682.61       0.00       0.00    1682.61
   1824.00          9     141.39    1682.61       0.00       0.00    1682.61
   1826.00          9     141.57    1684.43       0.00       0.00    1684.43
   1827.00          9     141.66    1685.34       0.00       0.00    1685.34
   1827.00          9     141.66    1685.34       0.00       0.00    1685.34
   1828.00          9     141.75    1686.25       0.00       0.00    1686.25
   1828.00          9     141.75    1686.25       0.00       0.00    1686.25
   1830.00          9     141.93    1688.07       0.00       0.00    1688.07
   1830.00          9     141.93    1688.07       0.00       0.00    1688.07
   1831.00          9     142.02    1688.98       0.00       0.00    1688.98
   1832.00          9     142.11    1689.89       0.00       0.00    1689.89
   1834.00          9     142.29    1691.71       0.00       0.00    1691.71
   1836.00          9     142.47    1693.53       0.00       0.00    1693.53
   1838.00          9     142.65    1695.35       0.00       0.00    1695.35
   1838.00          9     142.65    1695.35       0.00       0.00    1695.35
   1840.00          9     142.83    1697.17       0.00       0.00    1697.17
   1841.00          9     142.92    1698.08       0.00       0.00    1698.08
   1841.00          9     142.92    1698.08       0.00       0.00    1698.08
   1844.00          9     143.19    1700.81       0.00       0.00    1700.81
   1844.00          9     143.19    1700.81       0.00       0.00    1700.81
   1845.00          9     143.28    1701.72       0.00       0.00    1701.72
   1845.00          9     143.28    1701.72       0.00       0.00    1701.72
   1846.00          9     143.37    1702.63       0.00       0.00    1702.63
   1847.00          9     143.46    1703.54       0.00       0.00    1703.54
   1847.00          9     143.46    1703.54       0.00       0.00    1703.54
   1848.00          9     143.55    1704.45       0.00       0.00    1704.45
   1848.00          9     143.55    1704.45       0.00       0.00    1704.45
   1850.00          9     143.73    1706.27       0.00       0.00    1706.27
   1852.00          9     143.91    1708.09       0.00       0.00    1708.09
   1852.00          9     143.91    1708.09       0.00       0.00    1708.09
   1855.00          9     144.18    1710.82       0.00       0.00    1710.82
   1856.00          9     144.27    1711.73       0.00       0.00    1711.73
   1856.00          9     144.27    1711.73       0.00       0.00    1711.73
   1856.00          9     144.27    1711.73       0.00       0.00    1711.73
   1856.00          9     144.27    1711.73       0.00       0.00    1711.73
   1858.00          9     144.45    1713.55       0.00       0.00    1713.55
   1859.00          9     144.54    1714.46       0.00       0.00    1714.46
   1859.00          9     144.54    1714.46       0.00       0.00    1714.46
   1860.00          9     144.63    1715.37       0.00       0.00    1715.37
   1861.00          9     144.72    1716.28       0.00       0.00    1716.28
   1861.00          9     144.72    1716.28       0.00       0.00    1716.28
   1862.00          9     144.81    1717.19       0.00       0.00    1717.19
   1864.00          9     144.99    1719.01       0.00       0.00    1719.01
   1865.00          9     145.08    1719.92       0.00       0.00    1719.92
   1865.00          9     145.08    1719.92       0.00       0.00    1719.92
   1865.00          9     145.08    1719.92       0.00       0.00    1719.92
   1866.00          9     145.17    1720.83       0.00       0.00    1720.83
   1867.00          9     145.26    1721.74       0.00       0.00    1721.74
   1868.00          9     145.35    1722.65       0.00       0.00    1722.65
   1868.00          9     145.35    1722.65       0.00       0.00    1722.65
   1872.00          9     145.71    1726.29       0.00       0.00    1726.29
   1874.00          9     145.89    1728.11       0.00       0.00    1728.11
   1874.00          9     145.89    1728.11       0.00       0.00    1728.11
   1875.00          9     145.98    1729.02       0.00       0.00    1729.02
   1877.00          9     146.16    1730.84       0.00       0.00    1730.84
   1879.00          9     146.34    1732.66       0.00       0.00    1732.66
   1879.00          9     146.34    1732.66       0.00       0.00    1732.66
   1884.00          9     146.79    1737.21       0.00       0.00    1737.21
   1884.00          9     146.79    1737.21       0.00       0.00    1737.21
   1885.00          9     146.88    1738.12       0.00       0.00    1738.12
   1886.00          9     146.97    1739.03       0.00       0.00    1739.03
   1887.00          9     147.06    1739.94       0.00       0.00    1739.94
   1888.00          9     147.15    1740.85       0.00       0.00    1740.85
   1888.00          9     147.15    1740.85       0.00       0.00    1740.85
   1889.00          9     147.24    1741.76       0.00       0.00    1741.76
   1890.00          9     147.33    1742.67       0.00       0.00    1742.67
   1890.00          9     147.33    1742.67       0.00       0.00    1742.67
   1891.00          9     147.42    1743.58       0.00       0.00    1743.58
   1891.00          9     147.42    1743.58       0.00       0.00    1743.58
   1892.00          9     147.51    1744.49       0.00       0.00    1744.49
   1892.00          9     147.51    1744.49       0.00       0.00    1744.49
   1892.00          9     147.51    1744.49       0.00       0.00    1744.49
   1892.00          9     147.51    1744.49       0.00       0.00    1744.49
   1893.00          9     147.60    1745.40       0.00       0.00    1745.40
   1893.00          9     147.60    1745.40       0.00       0.00    1745.40
   1894.00          9     147.69    1746.31       0.00       0.00    1746.31
   1895.00          9     147.78    1747.22       0.00       0.00    1747.22
   1896.00          9     147.87    1748.13       0.00       0.00    1748.13
   1899.00          9     148.14    1750.86       0.00       0.00    1750.86
   1900.00          9     148.23    1751.77       0.00       0.00    1751.77
   1901.00          9     148.32    1752.68       0.00       0.00    1752.68
   1901.00          9     148.32    1752.68       0.00       0.00    1752.68
   1902.00          9     148.41    1753.59       0.00       0.00    1753.59
   1902.00          9     148.41    1753.59       0.00       0.00    1753.59
   1902.00          9     148.41    1753.59       0.00       0.00    1753.59
   1902.00          9     148.41    1753.59       0.00       0.00    1753.59
   1905.00          9     148.68    1756.32       0.00       0.00    1756.32
   1905.00          9     148.68    1756.32       0.00       0.00    1756.32
   1905.00          9     148.68    1756.32       0.00       0.00    1756.32
   1906.00          9     148.77    1757.23       0.00       0.00    1757.23
   1906.00          9     148.77    1757.23       0.00       0.00    1757.23
   1911.00          9     149.22    1761.78       0.00       0.00    1761.78
   1914.00          9     149.49    1764.51       0.00       0.00    1764.51
   1915.00          9     149.58    1765.42       0.00       0.00    1765.42
   1915.00          9     149.58    1765.42       0.00       0.00    1765.42
   1915.00          9     149.58    1765.42       0.00       0.00    1765.42
   1915.00          9     149.58    1765.42       0.00       0.00    1765.42
   1917.00          9     149.76    1767.24       0.00       0.00    1767.24
   1917.00          9     149.76    1767.24       0.00       0.00    1767.24
   1919.00          9     149.94    1769.06       0.00       0.00    1769.06
   1919.00          9     149.94    1769.06       0.00       0.00    1769.06
   1919.00          9     149.94    1769.06       0.00       0.00    1769.06
   1919.00          9     149.94    1769.06       0.00       0.00    1769.06
   1921.00          9     150.12    1770.88       0.00       0.00    1770.88
   1925.00          9     150.48    1774.52       0.00       0.00    1774.52
   1926.00          9     150.57    1775.43       0.00       0.00    1775.43
   1926.00          9     150.57    1775.43       0.00       0.00    1775.43
   1927.00          9     150.66    1776.34       0.00       0.00    1776.34
   1927.00          9     150.66    1776.34       0.00       0.00    1776.34
   1927.00          9     150.66    1776.34       0.00       0.00    1776.34
   1928.00          9     150.75    1777.25       0.00       0.00    1777.25
   1929.00          9     150.84    1778.16       0.00       0.00    1778.16
   1930.00          9     150.93    1779.07       0.00       0.00    1779.07
   1930.00          9     150.93    1779.07       0.00       0.00    1779.07
   1932.00          9     151.11    1780.89       0.00       0.00    1780.89
   1932.00          9     151.11    1780.89       0.00       0.00    1780.89
   1933.00          9     151.20    1781.80       0.00       0.00    1781.80
   1934.00          9     151.29    1782.71       0.00       0.00    1782.71
   1935.00          9     151.38    1783.62       0.00       0.00    1783.62
   1935.00          9     151.38    1783.62       0.00       0.00    1783.62
   1935.00          9     151.38    1783.62       0.00       0.00    1783.62
   1935.00          9     151.38    1783.62       0.00       0.00    1783.62
   1935.00          9     151.38    1783.62       0.00       0.00    1783.62
   1938.00          9     151.65    1786.35       0.00       0.00    1786.35
   1940.00          9     151.83    1788.17       0.00       0.00    1788.17
   1941.00          9     151.92    1789.08       0.00       0.00    1789.08
   1942.00          9     152.01    1789.99       0.00       0.00    1789.99
   1942.00          9     152.01    1789.99       0.00       0.00    1789.99
   1942.00          9     152.01    1789.99       0.00       0.00    1789.99
   1944.00          9     152.19    1791.81       0.00       0.00    1791.81
   1944.00          9     152.19    1791.81       0.00       0.00    1791.81
   1945.00          9     152.28    1792.72       0.00       0.00    1792.72
   1946.00          9     152.37    1793.63       0.00       0.00    1793.63
   1949.00          9     152.64    1796.36       0.00       0.00    1796.36
   1951.00          9     152.82    1798.18       0.00       0.00    1798.18
   1956.00          9     153.27    1802.73       0.00       0.00    1802.73
   1956.00          9     153.27    1802.73       0.00       0.00    1802.73
   1956.00          9     153.27    1802.73       0.00       0.00    1802.73
   1958.00          9     153.45    1804.55       0.00       0.00    1804.55
   1959.00          9     153.54    1805.46       0.00       0.00    1805.46
   1960.00          9     153.63    1806.37       0.00       0.00    1806.37
   1960.00          9     153.63    1806.37       0.00       0.00    1806.37
   1960.00          9     153.63    1806.37       0.00       0.00    1806.37
   1961.00          9     153.72    1807.28       0.00       0.00    1807.28
   1961.00          9     153.72    1807.28       0.00       0.00    1807.28
   1961.00          9     153.72    1807.28       0.00       0.00    1807.28
   1962.00          9     153.81    1808.19       0.00       0.00    1808.19
   1963.00          9     153.90    1809.10       0.00       0.00    1809.10
   1965.00          9     154.08    1810.92       0.00       0.00    1810.92
   1966.00          9     154.17    1811.83       0.00       0.00    1811.83
   1967.00          9     154.26    1812.74       0.00       0.00    1812.74
   1968.00          9     154.35    1813.65       0.00       0.00    1813.65
   1971.00          9     154.62    1816.38       0.00       0.00    1816.38
   1973.00          9     154.80    1818.20       0.00       0.00    1818.20
   1979.00          9     155.34    1823.66       0.00       0.00    1823.66
   1981.00          9     155.52    1825.48       0.00       0.00    1825.48
   1982.00          9     155.61    1826.39       0.00       0.00    1826.39
   1982.00          9     155.61    1826.39       0.00       0.00    1826.39
   1982.00          9     155.61    1826.39       0.00       0.00    1826.39
   1983.00          9     155.70    1827.30       0.00       0.00    1827.30
   1984.00          9     155.79    1828.21       0.00       0.00    1828.21
   1986.00          9     155.97    1830.03       0.00       0.00    1830.03
   1986.00          9     155.97    1830.03       0.00       0.00    1830.03
   1987.00          9     156.06    1830.94       0.00       0.00    1830.94
   1991.00          9     156.42    1834.58       0.00       0.00    1834.58
   1991.00          9     156.42    1834.58       0.00       0.00    1834.58
   1993.00          9     156.60    1836.40       0.00       0.00    1836.40
   1995.00          9     156.78    1838.22       0.00       0.00    1838.22
   1995.00          9     156.78    1838.22       0.00       0.00    1838.22
   1996.00          9     156.87    1839.13       0.00       0.00    1839.13
   1997.00          9     156.96    1840.04       0.00       0.00    1840.04
   1998.00          9     157.05    1840.95       0.00       0.00    1840.95
   1998.00          9     157.05    1840.95       0.00       0.00    1840.95
   2000.00          9     157.23    1842.77       0.00       0.00    1842.77
   2000.00          9     157.23    1842.77       0.00       0.00    1842.77
   2001.00          9     157.32    1843.68       0.00       0.00    1843.68
   2002.00          9     157.41    1844.59       0.00       0.00    1844.59
   2004.00          9     157.59    1846.41       0.00       0.00    1846.41
   2004.00          9     157.59    1846.41       0.00       0.00    1846.41
   2005.00          9     157.68    1847.32       0.00       0.00    1847.32
   2005.00          9     157.68    1847.32       0.00       0.00    1847.32
   2006.00          9     157.77    1848.23       0.00       0.00    1848.23
   2006.00          9     157.77    1848.23       0.00       0.00    1848.23
   2006.00          9     157.77    1848.23       0.00       0.00    1848.23
   2008.00          9     157.95    1850.05       0.00       0.00    1850.05
   2009.00          9     158.04    1850.96       0.00       0.00    1850.96
   2009.00          9     158.04    1850.96       0.00       0.00    1850.96
   2009.00          9     158.04    1850.96       0.00       0.00    1850.96
   2012.00          9     158.31    1853.69       0.00       0.00    1853.69
   2012.00          9     158.31    1853.69       0.00       0.00    1853.69
   2013.00          9     158.40    1854.60       0.00       0.00    1854.60
   2016.00          9     158.67    1857.33       0.00       0.00    1857.33
   2017.00          9     158.76    1858.24       0.00       0.00    1858.24
   2017.00          9     158.76    1858.24       0.00       0.00    1858.24
   2018.00          9     158.85    1859.15       0.00       0.00    1859.15
   2018.00          9     158.85    1859.15       0.00       0.00    1859.15
   2018.00          9     158.85    1859.15       0.00       0.00    1859.15
   2018.00          9     158.85    1859.15       0.00       0.00    1859.15
   2019.00          9     158.94    1860.06       0.00       0.00    1860.06
   2020.00          9     159.03    1860.97       0.00       0.00    1860.97
   2021.00          9     159.12    1861.88       0.00       0.00    1861.88
   2024.00          9     159.39    1864.61       0.00       0.00    1864.61
   2026.00          9     159.57    1866.43       0.00       0.00    1866.43
   2027.00          9     159.66    1867.34       0.00       0.00    1867.34
   2028.00          9     159.75    1868.25       0.00       0.00    1868.25
   2028.00          9     159.75    1868.25       0.00       0.00    1868.25
   2029.00          9     159.84    1869.16       0.00       0.00    1869.16
   2030.00          9     159.93    1870.07       0.00       0.00    1870.07
   2032.00          9     160.11    1871.89       0.00       0.00    1871.89
   2033.00          9     160.20    1872.80       0.00       0.00    1872.80
   2034.00          9     160.29    1873.71       0.00       0.00    1873.71
   2035.00          9     160.38    1874.62       0.00       0.00    1874.62
   2037.00          9     160.56    1876.44       0.00       0.00    1876.44
   2037.00          9     160.56    1876.44       0.00       0.00    1876.44
   2037.00          9     160.56    1876.44       0.00       0.00    1876.44
   2038.00          9     160.65    1877.35       0.00       0.00    1877.35
   2040.00          9     160.83    1879.17       0.00       0.00    1879.17
   2040.00          9     160.83    1879.17       0.00       0.00    1879.17
   2041.00          9     160.92    1880.08       0.00       0.00    1880.08
   2042.00          9     161.01    1880.99       0.00       0.00    1880.99
   2043.00          9     161.10    1881.90       0.00       0.00    1881.90
   2043.00          9     161.10    1881.90       0.00       0.00    1881.90
   2044.00          9     161.19    1882.81       0.00       0.00    1882.81
   2044.00          9     161.19    1882.81       0.00       0.00    1882.81
   2044.00          9     161.19    1882.81       0.00       0.00    1882.81
   2046.00          9     161.37    1884.63       0.00       0.00    1884.63
   2047.00          9     161.46    1885.54       0.00       0.00    1885.54
   2048.00          9     161.55    1886.45       0.00       0.00    1886.45
   2048.00          9     161.55    1886.45       0.00       0.00    1886.45
   2048.00          9     161.55    1886.45       0.00       0.00    1886.45
   2052.00          9     161.91    1890.09       0.00       0.00    1890.09
   2052.00          9     161.91    1890.09       0.00       0.00    1890.09
   2052.00          9     161.91    1890.09       0.00       0.00    1890.09
   2057.00          9     162.36    1894.64       0.00       0.00    1894.64
   2057.00          9     162.36    1894.64       0.00       0.00    1894.64
   2057.00          9     162.36    1894.64       0.00       0.00    1894.64
   2058.00          9     162.45    1895.55       0.00       0.00    1895.55
   2058.00          9     162.45    1895.55       0.00       0.00    1895.55
   2058.00          9     162.45    1895.55       0.00       0.00    1895.55
   2060.00          9     162.63    1897.37       0.00       0.00    1897.37
   2062.00          9     162.81    1899.19       0.00       0.00    1899.19
   2062.00          9     162.81    1899.19       0.00       0.00    1899.19
   2063.00          9     162.90    1900.10       0.00       0.00    1900.10
   2064.00          9     162.99    1901.01       0.00       0.00    1901.01
   2065.00          9     163.08    1901.92       0.00       0.00    1901.92
   2066.00          9     163.17    1902.83       0.00       0.00    1902.83
   2066.00          9     163.17    1902.83       0.00       0.00    1902.83
   2066.00          9     163.17    1902.83       0.00       0.00    1902.83
   2067.00          9     163.26    1903.74       0.00       0.00    1903.74
   2067.00          9     163.26    1903.74       0.00       0.00    1903.74
   2068.00          9     163.35    1904.65       0.00       0.00    1904.65
   2070.00          9     163.53    1906.47       0.00       0.00    1906.47
   2070.00          9     163.53    1906.47       0.00       0.00    1906.47
   2072.00          9     163.71    1908.29       0.00       0.00    1908.29
   2074.00          9     163.89    1910.11       0.00       0.00    1910.11
   2074.00          9     163.89    1910.11       0.00       0.00    1910.11
   2074.00          9     163.89    1910.11       0.00       0.00    1910.11
   2076.00          9     164.07    1911.93       0.00       0.00    1911.93
   2076.00          9     164.07    1911.93       0.00       0.00    1911.93
   2078.00          9     164.25    1913.75       0.00       0.00    1913.75
   2078.00          9     164.25    1913.75       0.00       0.00    1913.75
   2078.00          9     164.25    1913.75       0.00       0.00    1913.75
   2080.00          9     164.43    1915.57       0.00       0.00    1915.57
   2080.00          9     164.43    1915.57       0.00       0.00    1915.57
   2081.00          9     164.52    1916.48       0.00       0.00    1916.48
   2082.00          9     164.61    1917.39       0.00       0.00    1917.39
   2084.00          9     164.79    1919.21       0.00       0.00    1919.21
   2084.00          9     164.79    1919.21       0.00       0.00    1919.21
   2085.00          9     164.88    1920.12       0.00       0.00    1920.12
   2086.00          9     164.97    1921.03       0.00       0.00    1921.03
   2088.00          9     165.15    1922.85       0.00       0.00    1922.85
   2089.00          9     165.24    1923.76       0.00       0.00    1923.76
   2091.00          9     165.42    1925.58       0.00       0.00    1925.58
   2092.00          9     165.51    1926.49       0.00       0.00    1926.49
   2092.00          9     165.51    1926.49       0.00       0.00    1926.49
   2094.00          9     165.69    1928.31       0.00       0.00    1928.31
   2094.00          9     165.69    1928.31       0.00       0.00    1928.31
   2096.00          9     165.87    1930.13       0.00       0.00    1930.13
   2099.00          9     166.14    1932.86       0.00       0.00    1932.86
   2099.00          9     166.14    1932.86       0.00       0.00    1932.86
   2100.00          9     166.23    1933.77       0.00       0.00    1933.77
   2101.00          9     166.32    1934.68       0.00       0.00    1934.68
   2102.00          9     166.41    1935.59       0.00       0.00    1935.59
   2103.00          9     166.50    1936.50       0.00       0.00    1936.50
   2104.00          9     166.59    1937.41       0.00       0.00    1937.41
   2105.00          9     166.68    1938.32       0.00       0.00    1938.32
   2105.00          9     166.68    1938.32       0.00       0.00    1938.32
   2106.00          9     166.77    1939.23       0.00       0.00    1939.23
   2108.00          9     166.95    1941.05       0.00       0.00    1941.05
   2108.00          9     166.95    1941.05       0.00       0.00    1941.05
   2108.00          9     166.95    1941.05       0.00       0.00    1941.05
   2111.00          9     167.22    1943.78       0.00       0.00    1943.78
   2111.00          9     167.22    1943.78       0.00       0.00    1943.78
   2113.00          9     167.40    1945.60       0.00       0.00    1945.60
   2114.00          9     167.49    1946.51       0.00       0.00    1946.51
   2114.00          9     167.49    1946.51       0.00       0.00    1946.51
   2115.00          9     167.58    1947.42       0.00       0.00    1947.42
   2116.00          9     167.67    1948.33       0.00       0.00    1948.33
   2118.00          9     167.85    1950.15       0.00       0.00    1950.15
   2118.00          9     167.85    1950.15       0.00       0.00    1950.15
   2118.00          9     167.85    1950.15       0.00       0.00    1950.15
   2119.00          9     167.94    1951.06       0.00       0.00    1951.06
   2120.00          9     168.03    1951.97       0.00       0.00    1951.97
   2120.00          9     168.03    1951.97       0.00       0.00    1951.97
   2124.00          9     168.39    1955.61       0.00       0.00    1955.61
   2125.00          9     168.48    1956.52       0.00       0.00    1956.52
   2125.00          9     168.48    1956.52       0.00       0.00    1956.52
   2126.00          9     168.57    1957.43       0.00       0.00    1957.43
   2127.00          9     168.66    1958.34       0.00       0.00    1958.34
   2128.00          9     168.75    1959.25       0.00       0.00    1959.25
   2129.00          9     168.84    1960.16       0.00       0.00    1960.16
   2131.00          9     169.02    1961.98       0.00       0.00    1961.98
   2131.00          9     169.02    1961.98       0.00       0.00    1961.98
   2132.00          9     169.11    1962.89       0.00       0.00    1962.89
   2134.00          9     169.29    1964.71       0.00       0.00    1964.71
   2135.00          9     169.38    1965.62       0.00       0.00    1965.62
   2138.00          9     169.65    1968.35       0.00       0.00    1968.35
   2139.00          9     169.74    1969.26       0.00       0.00    1969.26
   2139.00          9     169.74    1969.26       0.00       0.00    1969.26
   2139.00          9     169.74    1969.26       0.00       0.00    1969.26
   2140.00          9     169.83    1970.17       0.00       0.00    1970.17
   2140.00          9     169.83    1970.17       0.00       0.00    1970.17
   2140.00          9     169.83    1970.17       0.00       0.00    1970.17
   2143.00          9     170.10    1972.90       0.00       0.00    1972.90
   2144.00          9     170.19    1973.81       0.00       0.00    1973.81
   2144.00          9     170.19    1973.81       0.00       0.00    1973.81
   2144.00          9     170.19    1973.81       0.00       0.00    1973.81
   2144.00          9     170.19    1973.81       0.00       0.00    1973.81
   2147.00          9     170.46    1976.54       0.00       0.00    1976.54
   2148.00          9     170.55    1977.45       0.00       0.00    1977.45
   2150.00          9     170.73    1979.27       0.00       0.00    1979.27
   2150.00          9     170.73    1979.27       0.00       0.00    1979.27
   2150.00          9     170.73    1979.27       0.00       0.00    1979.27
   2152.00          9     170.91    1981.09       0.00       0.00    1981.09
   2152.00          9     170.91    1981.09       0.00       0.00    1981.09
   2153.00          9     171.00    1982.00       0.00       0.00    1982.00
   2153.00          9     171.00    1982.00       0.00       0.00    1982.00
   2154.00          9     171.09    1982.91       0.00       0.00    1982.91
   2155.00          9     171.18    1983.82       0.00       0.00    1983.82
   2158.00          9     171.45    1986.55       0.00       0.00    1986.55
   2158.00          9     171.45    1986.55       0.00       0.00    1986.55
   2161.00          9     171.72    1989.28       0.00       0.00    1989.28
   2161.00          9     171.72    1989.28       0.00       0.00    1989.28
   2162.00          9     171.81    1990.19       0.00       0.00    1990.19
   2163.00          9     171.90    1991.10       0.00       0.00    1991.10
   2163.00          9     171.90    1991.10       0.00       0.00    1991.10
   2165.00          9     172.08    1992.92       0.00       0.00    1992.92
   2165.00          9     172.08    1992.92       0.00       0.00    1992.92
   2166.00          9     172.17    1993.83       0.00       0.00    1993.83
   2167.00          9     172.26    1994.74       0.00       0.00    1994.74
   2168.00          9     172.35    1995.65       0.00       0.00    1995.65
   2169.00          9     172.44    1996.56       0.00       0.00    1996.56
   2170.00          9     172.53    1997.47       0.00       0.00    1997.47
   2172.00          9     172.71    1999.29       0.00       0.00    1999.29
   2173.00          9     172.80    2000.20       0.00       0.00    2000.20
   2173.00          9     172.80    2000.20       0.00       0.00    2000.20
   2174.00          9     172.89    2001.11       0.00       0.00    2001.11
   2174.00          9     172.89    2001.11       0.00       0.00    2001.11
   2174.00          9     172.89    2001.11       0.00       0.00    2001.11
   2175.00          9     172.98    2002.02       0.00       0.00    2002.02
   2176.00          9     173.07    2002.93       0.00       0.00    2002.93
   2177.00          9     173.16    2003.84       0.00       0.00    2003.84
   2177.00          9     173.16    2003.84       0.00       0.00    2003.84
   2178.00          9     173.25    2004.75       0.00       0.00    2004.75
   2178.00          9     173.25    2004.75       0.00       0.00    2004.75
   2179.00          9     173.34    2005.66       0.00       0.00    2005.66
   2180.00          9     173.43    2006.57       0.00       0.00    2006.57
   2180.00          9     173.43    2006.57       0.00       0.00    2006.57
   2182.00          9     173.61    2008.39       0.00       0.00    2008.39
   2183.00          9     173.70    2009.30       0.00       0.00    2009.30
   2183.00          9     173.70    2009.30       0.00       0.00    2009.30
   2185.00          9     173.88    2011.12       0.00       0.00    2011.12
   2185.00          9     173.88    2011.12       0.00       0.00    2011.12
   2185.00          9     173.88    2011.12       0.00       0.00    2011.12
   2187.00          9     174.06    2012.94       0.00       0.00    2012.94
   2187.00          9     174.06    2012.94       0.00       0.00    2012.94
   2188.00          9     174.15    2013.85       0.00       0.00    2013.85
   2188.00          9     174.15    2013.85       0.00       0.00    2013.85
   2188.00          9     174.15    2013.85       0.00       0.00    2013.85
   2190.00          9     174.33    2015.67       0.00       0.00    2015.67
   2190.00          9     174.33    2015.67       0.00       0.00    2015.67
   2190.00          9     174.33    2015.67       0.00       0.00    2015.67
   2192.00          9     174.51    2017.49       0.00       0.00    2017.49
   2194.00          9     174.69    2019.31       0.00       0.00    2019.31
   2194.00          9     174.69    2019.31       0.00       0.00    2019.31
   2195.00          9     174.78    2020.22       0.00       0.00    2020.22
   2196.00          9     174.87    2021.13       0.00       0.00    2021.13
   2196.00          9     174.87    2021.13       0.00       0.00    2021.13
   2196.00          9     174.87    2021.13       0.00       0.00    2021.13
   2197.00          9     174.96    2022.04       0.00       0.00    2022.04
   2198.00          9     175.05    2022.95       0.00       0.00    2022.95
   2199.00          9     175.14    2023.86       0.00       0.00    2023.86
   2200.00          9     175.23    2024.77       0.00       0.00    2024.77
   2202.00          9     175.41    2026.59       0.00       0.00    2026.59
   2205.00          9     175.68    2029.32       0.00       0.00    2029.32
   2206.00          9     175.77    2030.23       0.00       0.00    2030.23
   2207.00          9     175.86    2031.14       0.00       0.00    2031.14
   2207.00          9     175.86    2031.14       0.00       0.00    2031.14
